제목,방송 기간,방송 횟수,장르,채널,제작사,극본,출연자,방송 시작
오마이금비,  2016년 11월 16일 ~ 2017년 1월 11일 ,  16부작 ," 휴먼, 가족 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악",  KBS 2TV ," 이장수 (방송인), 최태영 오마이금비 문화산업전문회사로고스필름", 전호성,"  허정은, 오지호(배우), 박진희(1978), 오윤아 등 ",2016-11-16 00:00:00
너의노래를들려줘,  2019년 8월 5일 ~ 2019년 9월 24일 ,  32부작 ,"  미스터리, 로맨틱 코미디 ",  KBS 2TV ," 박희설, 정성택 JP E&M",  김민주 ,"  연우진, 세정(구구단), 송재림, 지연(1993) 外 ",2019-08-05 00:00:00
인수대비, 2011년 12월 3일 ~ 2012년 6월 24일 , 60부작뉴스 인용, 텔레비전 드라마, JTBC(종합편성채널), 드라마하우스 , 정하연 ," 채시라, 함은정, 백성현, 김영호, 김미숙, 전혜빈, 진지희, 진태현, 손병호, 노영학 外 ",2011-12-03 00:00:00
사이코메트리그녀석,  2019년 3월 11일 ~ 2019년 4월 30일 ,  16부작 + 스페셜 1부작 ,  초능력 로맨스릴러 ,  tvN , 제이에스픽쳐스 ,  양진아 ," 진영 (1994년), 신예은, 김권, 김다솜 (배우) 외",2019-03-11 00:00:00
"킬미,힐미",  2015년 1월 7일 ~ 2015년 3월 12일 ,  20부작 ,,  문화방송 ,  팬 엔터테인먼트 ,  진수완 ,"  지성(배우), 황정음, 박서준, 오민석, 김유리(1984) 외 ",2015-01-07 00:00:00
미스터굿바이,  2006년 5월 22일 ~ 2006년 7월 18일 ,  16부작 ,"  멜로, 드라마 ",  KBS 2TV ,  올리브나인 ,  서숙향 ,"  안재욱, 이보영, 오윤아, 조동혁 外 ",2006-05-22 00:00:00
귓속말,  2017년 3월 27일 ~ 2017년 5월 23일 ,  17부작 ," 법률, 멜로, 서스펜스, 복수극",  SBS , 김희열 팬 엔터테인먼트,  박경수(각본가) ," 이보영 (배우), 이상윤 (배우), 권율 (배우), 박세영 (배우) 외",2017-03-27 00:00:00
연애조작단;시라노,  2013년 5월 27일 ~ 2013년 7월 16일 ,  16부작 , 텔레비전 드라마, tvN ,  오보이프로젝트 , 신재원 (작가)," 이종혁 (배우), 수영 (가수), 홍종현 (배우), 조윤우 외",2013-05-27 00:00:00
계백,  2011년 7월 25일 ~ 2011년 11월 22일 ,  36부작 ,  사극 ,  문화방송 ," 계백문전사, 크리에이티브 프로덕션, 커튼콜미디어
김광수, 김동구, 이선상","  정형수, 주몽(드라마), 드림(드라마) 등을 집필했다.] "," 이서진, 송지효, 조재현, 차인표, 오연수, 전노민, 김유석, 조상기, 김진호 (배우), 박유환 외",2011-07-25 00:00:00
장길산,  2004년 5월 17일 ~ 2004년 11월 16일 ,  50부작 , 대하사극, SBS TV," SBS 프로덕션, 이현석",  이희우 ,"  유오성, 한고은, 양미라, 최재성(배우), 김영호 등 ",2004-05-17 00:00:00
유령을잡아라,  2019년 10월 21일 ~ 2019년 12월 10일 , 16부작 ,,  tvN ,  로고스 필름 (주) ,"  소원, 이영주 ","  문근영, 김선호 外 ",2019-10-21 00:00:00
나쁜사랑,  ON AIR 2019년 12월 2일 ~  2020년 5월 25일 (예정),  120부작 (예정)  ,,  문화방송 ,  문화방송   백호민 ,  홍승희 ,"  신고은(가수), 이선호(배우), 오승아,  윤종화(배우), 전승빈 外 ",unknown
파트너,   2009년 6월 24일 ~ 2009년 8월 13일 ,  총 16부작 ,,  KBS 2TV ,  KBS 미디어 ,"  조정주, 유미경 ","  김현주, 이동욱, 최철호, 이하늬 外 ",2009-06-24 00:00:00
해신,  2004년 11월 24일 ~ 2005년 5월 26일 ,  51부작 ,"  드라마, 퓨전 사극 ",  한국방송공사 ,  김종학 프로덕션 ,"  정진옥, 황주하 ","  최수종, 수애, 송일국, 채시라 外 ",2004-11-24 00:00:00
펀치,  2014년 12월 15일 ~ 2015년 2월 17일 ,  19부작 ," 정치, 법률", SBS TV, 문보미 HB엔터테인먼트,  박경수(각본가) ," 김래원, 김아중, 조재현 외",2014-12-15 00:00:00
홍소장의가을,,  3부작 ,  홈드라마 ,  SBS ,  삼화프로덕션 ,  김수현(작가)  ,"  최불암, 김혜자, 임채무, 박정수(배우), 양희경 外 ",unknown
무적의낙하산요원,   2006년 9월 6일 ~ 2006년 11월 2일 ,  16부작 ," 드라마, 액션", SBS TV,"  LK제작단, 에임하이글러벌 ","  이선미, 김기호, 박상희 ","  에릭(신화), 한지민, 신성우, 윤지민 外 ",2006-09-06 00:00:00
트리플,  2009년 6월 11일 ~ 2009년 7월 30일 ,  16부작 , 텔레비전 드라마,  문화방송 ,  문화방송 자체제작 ,"  이정아, 오수진 "," 이정재 (배우) ,민효린,이선균, 윤계상, 이하나, 김희 (모델) 외",2009-06-11 00:00:00
생일편지, 2019년 9월 11일 ~ 2019년 9월 12일  ,  2부작 ,  멜로 ,  KBS ,"  에이스팩토리   민현일, 이성진 ",  배수영 ,"  전소민, 전무송, 김경남, 정영숙, 송건희, 조수민 外 ",2019-09-11 00:00:00
신의퀴즈,,,  드라마 ,  OCN ,"  큐로홀딩스[*전체], 스튜디오드래곤[*리부트] ",,,unknown
달콤살벌패밀리,  2015년 11월 18일 ~ 2016년 1월 14일 ,  16부작 ,  가족 코미디 조폭미화물 ,  문화방송 ," 정태원, 정재희 태원엔터테인먼트","  손근주, 김지은 "," 정준호, 문정희 (배우), 정웅인, 유선 (배우), 김응수 (배우) 외",2015-11-18 00:00:00
닥터이방인,  2014년 5월 5일 ~ 2014년 7월 8일 ,  20부작 , 메디컬 첩보 멜로 드라마 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악,  SBS ," 고대화, 임성균 아우라미디어"," 박진우, 김주","  이종석(배우), 진세연, 강소라, 박해진 外 ",2014-05-05 00:00:00
신드롬,  2012년 2월 13일 ~ 2012년 4월 17일 ,  20부작 ,  의학 드라마 ,  JTBC ,  아이윌미디어 ,  김솔지 ,"  한혜진(배우), 송창의, 박건형, 조재현 外 ",2012-02-13 00:00:00
아들녀석들,  2012년 9월 22일 ~ 2013년 3월 24일 ,  50부작 ,"  가족, 막장 드라마 ",  문화방송 , 투비 엔터프라이즈(김홍기), 김지수 (작가) (1회 ~ 20회)→ 오상희 (21회 ~ 50회),"  이성재, 류수영, 서인국, 명세빈 外 ",2012-09-22 00:00:00
화유기,  2017년 12월 23일 ~ 2018년 3월 4일 ,  20회 ,  드라마 ,  tvN ,  제이에스픽쳐스 ,  홍자매 ,"  이승기, 차승원, 오연서, 이홍기, 장광 外 ",2017-12-23 00:00:00
별난며느리, 2015년 8월 17일 ~ 2015년 9월 22일,  12부작 ,  가족 코미디 ,  KBS 2TV , 래몽래인 김동래," 문선희, 유남경","  다솜(배우), 류수영, 고두심 外 ",2015-08-17 00:00:00
봄밤,  2019년 5월 22일 ~ 2019년 7월 11일 ,  32부작 , 멜로," MBC, 넷플릭스", 이진석 제이에스픽쳐스,  김은 ," 한지민, 정해인, 김준한 외",2019-05-22 00:00:00
황금정원,  2019년 7월 20일 ~ 2019년 10월 26일  ,  60부작 , ,  문화방송 ,"  김종학프로덕션.png   손기원, 김남표 ", 박현주 (작가)," 한지혜, 이상우 (배우), 오지은 (배우), 이태성 외",2019-07-20 00:00:00
종합병원2,  2008년 11월 19일 ~ 2009년 1월 15일 ,  17부작 , 드라마,  문화방송 ," 이상백, 김태훈 에이스토리MOPLUS","  최완규(크리에이터), 권음미, 노창 "," 차태현, 김정은 (배우), 류진 (배우), 이재룡,이종원 (배우), 조경환, 심양홍, 도지원 외",2008-11-19 00:00:00
떼루아,  2008년 12월 1일 ~ 2009년 2월 17일 ,  20부작 , 드라마,  SBS ,  예당엔터테인먼트 ,  황성구 ,"  김주혁(배우), 한혜진(배우), 유선(배우), 기태영, 송승환 外 ",2008-12-01 00:00:00
칠전팔기구해라,  2015년 1월 9일 ~ 2015년 3월 27일 ,,,,,"  신명진, 정수현 ",,2015-01-09 00:00:00
청춘시대2, 2017년 8월 25일 ~ 2017년 10월 7일,  14부작 ,"  드라마, 청춘, 로맨스, 미스터리  ",  JTBC ," 최혁진, 박준서 드라마하우스, 지앤지프로덕션",  박연선 ,"  한예리, 한승연, 박은빈, 지우(배우), 최아라, 신현수(배우), 손승원, 김민석(배우), 이유진(1992), 안우연 ",2017-08-25 00:00:00
밥잘사주는예쁜누나,  2018년 3월 30일 ~ 2018년 5월 19일 ,  16부작 ,  멜로 드라마 ,  JTBC ," 박준서, 최관용 드라마하우스앤드제이콘텐트허브, 키이스트",  김은 ," 손예진, 정해인, 장소연 (배우) 외",2018-03-30 00:00:00
리갈하이,  2019년 2월 8일 ~ 2019년 3월 30일 , 16부 , 드라마,  JTBC ," 지앤지프로덕션, 이매진아시아 오성민, 곽홍석",  박성진 ,"  진구, 서은수(배우), 윤박, 채정안, 정상훈, 이순재, 김병옥 外 ",2019-02-08 00:00:00
구미호외전,  2004년 7월 19일 ~ 2004년 9월 7일 , 16부작 , 텔레비전 드라마,  한국방송공사 ,  팬 엔터테인먼트 ,"  황성연, 이경미 ","  김태희, 조현재, 한예슬, 전진(신화), 박준석(배우) 外 ",2004-07-19 00:00:00
치즈인더트랩, 2016년 1월 4일 ~ 2016년 3월 1일,  16부작 , 드라마,  tvN ," 강훈, 김원주, 양환철 에이트웍스Pgood mediaKross Pictures"," 김남희, 조희 (1화), 고선희 (2~ 16화), 전영신 (2~16화)"," 박해진, 김고은, 서강준, 이성경 (1990년), 남주혁, 박민지 외",2016-01-04 00:00:00
왕이된남자,  2019년 1월 7일 ~ 2019년 3월 4일 ,  16부작 + 스페셜 2부작 , 텔레비전 드라마,  tvN , 스튜디오드래곤 (주)지티스트 김규태,"  김선덕, 신하은 ","  여진구, 이세영(배우), 김상경 外 ",2019-01-07 00:00:00
호텔델루나,  2019년 7월 13일 ~ 2019년 9월 1일 ,  16부작 ," 텔레비전 드라마, 판타지, 호러, 연애 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", tvN,  http://gtist.com/   이동규 ," 홍자매 (홍정은, 홍미란), 홍자매 (홍정은, 홍미란)","  아이유, 여진구, 신정근, 배해선, 피오, 미나(구구단), 조현철 外 ",2019-07-13 00:00:00
혼술남녀, 2016년 9월 5일 ~ 2016년 10월 25일, 16부작," 로맨틱 코미디, 음식드라마", tvN, CJ E&M," 명수현, 백선우, 최보림"," 하석진, 박하선, 공명 (배우), 황우슬혜, 민진웅, 김원해, key, 김동영 (배우), 정채연",2016-09-05 00:00:00
마이리틀베이비," 2016년 3월 5일 ~ 2016년 4월 23일 (본방), 2017년 10월 23일 ~ 2017년 11월 10일 (재방)",  16부작 , 텔레비전 드라마,  문화방송 ,   ㈜에스피스  ,"  김윤희, 이은영 "," 오지호 (배우), 이수경 (1982년), 김민재 (1996년), 남지현 (1990년) 外",2016-03-05 00:00:00
야인시대, 2002년 7월 29일 ~ 2003년 9월 30일 , 124부작 + 스페셜," 시대극, 다큐드라마", SBS , SBS프로덕션  이현석 , 이환경 (작가)," 김영철(배우), 안재모, 이창훈(1966), 정동환, 박영록(배우), 김영인, 김영호, 김학철(배우), 조상구 등 ",2002-07-29 00:00:00
"장옥정,사랑에살다",  2013년 4월 8일 ~ 2013년 6월 25일 ,  24부작 , 팩션 사극 로맨스, SBS TV," 스토리티비 배선해, 박희설, 고대화",  최정미 ," 김태희, 유아인, 홍수현, 재희, 이상엽, 한승연 외",2013-04-08 00:00:00
당신이잠든사이에,  2017년 9월 27일 ~ 2017년 11월 16일 ,  32부작 ,,  SBS ,  iHQ ,  박혜련 ,"  이종석(배우), 수지(1994), 이상엽, 고성희, 정해인, 박진주 外 ",2017-09-27 00:00:00
웰컴2라이프,  2019년 8월 5일 ~ 2019년 9월 24일 ,  32부작 ," 법률, 로맨스, 코미디, 수사",  문화방송 ," 손기원, 김남표 김종학프로덕션",  유희경 ,"  비(연예인), 임지연, 곽시양, 손병호 外 ",2019-08-05 00:00:00
미스리플리,  2011년 5월 30일 ~ 2011년 7월 19일 ,  16부작 ,,  문화방송 ,"  커튼콜 미디어, 씨제스 엔터테인먼트 ",  김선영 ,"  이다해, 박유천, 김승우, 강혜정 外 ",2011-05-30 00:00:00
검법남녀시즌2, 2019년 6월 3일 ~ 2019년 7월 29일 ,  32부작 ,,   문화방송 ,  HB 엔터테인먼트 ,"  민지은[*A ], 조원기 ","  정재영, 정유미(1984), 오만석, 노민우 外 ",2019-06-03 00:00:00
부활,  2005년 6월 1일 ~ 2005년 8월 18일 ,  24부작 ,"  스릴러, 복수극, 로맨스, 형사 ",  [KBS 2TV , KBS 드라마본부,  김지우(각본가) ,"  엄태웅, 한지민, 소이현, 김갑수 外 ",2005-06-01 00:00:00
밀회,  2014년 3월 17일 ~ 2014년 5월 13일 ,  16부작 ,"  드라마, 로맨스, 음악 ",  JTBC ,"   드라마하우스, 퓨처원 ",  정성주 ,"  김희애, 유아인, 박혁권, 심혜진 등 ",2014-03-17 00:00:00
블랙독,   2019년 12월 16일 ~ 2020년 2월 4일 , 16부작 , 텔레비전 드라마, tvN ,   얼반웍스 ,  박주연,"  서현진(배우), 라미란, 하준(배우), 이창훈(1980) 外 ",2019-12-16 00:00:00
두번째프러포즈,  2004년 9월 8일 ~ 2004년 11월 18일 ,  22부작 ,  로맨틱 코미디 ,  KBS 2TV ,  팬 엔터테인먼트 ,  박은령 ," 오연수, 김영호 (배우), 허영란, 오지호 (배우) 외",2004-09-08 00:00:00
라이프,  2018년 7월 23일 ~ 2018년 9월 11일 ,  16부작 + 스페셜 1부작 ,  의학 드라마 ,  JTBC ,"  씨그널엔터테인먼트그룹, AM 스튜디오   106억원 ",  이수연(작가) ," 이동욱 (배우), 조승우, 원진아, 이규형 (배우),유재명, 문소리 외",2018-07-23 00:00:00
플레이어, 2018년 9월 29일 ~ 2018년 11월 11일,  14부작 ,"  범죄, 액션, 스릴러 ",  OCN_LOGO.png ,"  스튜디오드래곤, 아이윌미디어 ",  신재형 ," 송승헌, 크리스탈 (가수), 이시언 (배우), 태원석 외",2018-09-29 00:00:00
아스달연대기,,  18부작 ,"  판타지, 드라마 ",,"  스튜디오 드래곤, KPJ   540억원 ","  김영현, 박상연(각본가) ","  장동건, 송중기, 김지원(배우), 김옥빈 외 ",unknown
별에서온그대,  2013년 12월 18일 ~ 2014년 2월 27일 ,  21부작(본편) + 1부작(스페셜) , SF 로맨틱 코미디 드라마, SBS TV,  132억원   HB엔터테인먼트 ,  박지은(각본가) ,"  전지현, 김수현(배우), 박해진, 유인나, 신성록, 안재현 등 ",2013-12-18 00:00:00
키스먼저할까요?,  2018년 2월 20일 ~ 2018년 4월 24일 ,  40부작 ,  멜로 ,  SBS ,  SM C&C ,  배유미(각본가) ,"  감우성, 김선아 外 ",2018-02-20 00:00:00
천사의유혹, 2009년 10월 12일 ~ 2009년 12월 22일 , 21부작 ," 텔레비전 드라마, 에로", SBS (대한민국의 방송사), 삼화네트웍스   신현택  , 김순옥 (작가),"  이소연(배우), 배수빈, 진태현, 한상진, 홍수현 外 ",2009-10-12 00:00:00
리멤버-아들의전쟁,  2015년 12월 9일 ~ 2016년 2월 18일 ,  20부작 ,"  법정, 범죄   박성웅 ", SBS TV,  로고스필름 ,  윤현호 ," 유승호, 박민영, 박성웅, 남궁민 (1978년), 정혜성 외",2015-12-09 00:00:00
대장금이보고있다,  2018년 10월 11일 ~ 2019년 1월 24일 ,  16부작 , 예능 드라마,   문화방송 ," MBC 예능 제작국 선혜윤, 오미경","  박은정, 최우주 "," 신동욱 (배우), 유리 (1989년), 이열음, 김현준 (배우),이민혁 (가수) 외",2018-10-11 00:00:00
모두다쿵따리,  2019년 7월 16일 ~  2019년 11월 29일,  99부작  , 드라마,  문화방송 ,  문화방송 C&I   이민수 → 김정호 ,  김지현 ," 박시은 (1980년), 김호진 (배우), 이보희, 강석정, 서혜진 외",2019-07-16 00:00:00
슈츠,   2018년 4월 25일 ~ 2018년 6월 14일 ,  16부작 ," 법률, 휴먼",  KBS 2TV ," 박성혜, 문보현, 이동훈 몬스터 유니온, 엔터미디어픽쳐스",  김정민 ,"  장동건, 박형식, 진희경, 채정안, 고성희, 최귀화 등 ",2018-04-25 00:00:00
브레인,  2011년 11월 14일 ~ 2012년 1월 17일 ,  20부작 ,  의학 드라마 ,  KBS 2TV , CJ ENM(구 CJ 미디어),  윤경아 ," 신하균 (배우), 최정원 (1981년 4월), 정진영 (1980년), 조동혁, 수현 (배우)",2011-11-14 00:00:00
아름다운그대에게,  2012년 8월 15일 ~ 2012년 10월 4일 ,  16부작 ," 학원물, 청춘, 로맨스, 텔레비전 드라마     ",  SBS , 에스엠컬처앤콘텐츠,  이영철 ," 설리 (배우), 민호, 이현우 (1993년), 김지원 (1992년) 외",2012-08-15 00:00:00
언제나봄날,  2016년 10월 31일 ~ 2017년 4월 21일 ,  122부작 , 드라마,  문화방송 , MBC C&I 이민수,"  김미경, 서신혜 ","  선우재덕, 강별, 권현상, 김소혜(1992), 박정욱 등 ",2016-10-31 00:00:00
모두의연애,  2017년 12월 8일 ~ 2018년 1월 26일 ,  8부작 ," 예능, 드라마",  tvN ,  tvN ,  김지윤 ,"  신동엽(코미디언), 이시아(배우), 박유나, 최원명, 강민아, 이나은 外 ",2017-12-08 00:00:00
힘쎈여자도봉순,   2017년 2월 24일 ~ 2017년 4월 15일  ,  16부작 ," 판타지, 로맨스, 코미디, 범죄, 드라마 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악",  JTBC ," 이진석 (연출가), 박준서 제이에스픽쳐스, 드라마하우스앤드제이콘텐트허브", 백미경 (작가),"  박보영, 박형식, 지수(배우), 안우연 外 ",2017-02-24 00:00:00
매드독,  2017년 10월 11일 ~ 2017년 11월 30일 ,  16부작 ,"  범죄, 스릴러 ",  KBS 2TV ," 박재삼, 심재현 셀트리온 엔터테인먼트, 이매진아시아", 김수진,"  유지태, 우도환, 류화영, 조재윤, 김혜성(배우), 홍수현 外 ",2017-10-11 00:00:00
난폭한로맨스,  2012년 1월 4일 ~ 2012년 2월 23일 ,  총 16부작 ,,  KBS 2TV ,  GnG 프로덕션 ,  박연선 ,"  이동욱, 이시영(배우), 오만석, 황선희 外 ",2012-01-04 00:00:00
개인주의자지영씨,  2017년 5월 8일 ~ 2017년 5월 9일 ,  2부작 ,"   드라마, 로맨스 ",  KBS 2TV ," 이태현, 김훈재 Cross Media",  권혜지 ,"  민효린, 공명(배우) 外 ",2017-05-08 00:00:00
맨도롱또똣," 2015년 5월 13일 ~ 2015년 7월 2일(본방), 2018년 7월 27일 ~ 2018년 12월 14일(재방)",  16부작 ," 로맨틱 코미디 드라마음악, 팝 음악 드라마음악, 팝 음악 드라마음악, 발라드 (대중 음악) 드라마음악, 발라드 (대중 음악) 드라마음악, 발라드 (대중 음악) 드라마음악",  문화방송 ," 문석환, 오광희, 본팩토리"," 홍자매 (홍정은, 홍미란)·홍자매 (홍정은, 홍미란)","  유연석, 강소라 外 ",2015-05-13 00:00:00
연인,   2006년 11월 8일 ~ 2007년 1월 17일 ,  20부작 ," 멜로, 폭력, 서스펜스", SBS TV,  케이드림 ,  김은숙 (작가)," 이서진, 김정은 (배우), 정찬 (배우), 김규리 (1979년 6월) 외",2006-11-08 00:00:00
